TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315968203.70296454,00000000-0000-0000-0000-000000000000,AV,419.3545778179974,1125.9280648873869,MIA
315968203.70296454,00000000-0000-0000-0000-000000023470,OTHERS,404.7292168396011,1253.0065911729125,MIA
315968203.70296454,00000000-0000-0000-0000-000000023463,OTHERS,491.96770374503166,1147.2865808928393,MIA
315968203.70296454,00000000-0000-0000-0000-000000023476,OTHERS,473.8274823137583,1146.6724731073973,MIA
315968203.70296454,00000000-0000-0000-0000-000000023478,OTHERS,419.64133675822717,1252.0345383663025,MIA
315968203.70296454,00000000-0000-0000-0000-000000023475,OTHERS,427.849194853338,1067.492295234965,MIA
315968203.70296454,00000000-0000-0000-0000-000000023464,OTHERS,498.6413068154955,1147.4305417135554,MIA
315968203.70296454,00000000-0000-0000-0000-000000023366,OTHERS,478.1229394969229,1138.9200830329555,MIA
315968203.70296454,00000000-0000-0000-0000-000000023435,OTHERS,419.64432103727586,1119.6556813021602,MIA
315968203.70296454,00000000-0000-0000-0000-000000023211,OTHERS,424.76651603944686,1123.1030512203656,MIA
315968203.70296454,00000000-0000-0000-0000-000000023356,OTHERS,466.87032866007263,1146.426837652059,MIA
315968203.70296454,00000000-0000-0000-0000-000000023327,OTHERS,426.39182356083086,1113.1143815992568,MIA
315968203.70296454,00000000-0000-0000-0000-000000023466,OTHERS,423.3774052667617,1114.6016065905494,MIA
315968203.70296454,00000000-0000-0000-0000-000000023465,AGENT,435.4182520221456,1142.5355511464352,MIA
315968203.70296454,00000000-0000-0000-0000-000000023457,OTHERS,422.46029240220594,1117.1024161642556,MIA
315968203.70296454,00000000-0000-0000-0000-000000023430,OTHERS,452.27589606181886,1145.9750770289268,MIA
315968203.80087227,00000000-0000-0000-0000-000000000000,AV,419.35444003413386,1125.9279454947764,MIA
315968203.80087227,00000000-0000-0000-0000-000000023470,OTHERS,404.5224272692205,1252.9601302441106,MIA
315968203.80087227,00000000-0000-0000-0000-000000023463,OTHERS,492.03393213397163,1147.1780801039095,MIA
315968203.80087227,00000000-0000-0000-0000-000000023476,OTHERS,474.05438390658486,1146.5792916248945,MIA
315968203.80087227,00000000-0000-0000-0000-000000023478,OTHERS,419.80458092282754,1251.989993149223,MIA
315968203.80087227,00000000-0000-0000-0000-000000023475,OTHERS,427.9876138191801,1067.4809617856959,MIA
315968203.80087227,00000000-0000-0000-0000-000000023464,OTHERS,498.6378260740668,1147.4514111526746,MIA
315968203.80087227,00000000-0000-0000-0000-000000023366,OTHERS,478.107433292786,1138.956280829812,MIA
315968203.80087227,00000000-0000-0000-0000-000000023435,OTHERS,419.61876923000807,1119.6334891049653,MIA
315968203.80087227,00000000-0000-0000-0000-000000023211,OTHERS,424.74589240641177,1123.1980538080825,MIA
315968203.80087227,00000000-0000-0000-0000-000000023356,OTHERS,466.79771768911695,1146.4560276931018,MIA
315968203.80087227,00000000-0000-0000-0000-000000023327,OTHERS,426.4242097816913,1113.1831573854954,MIA
315968203.80087227,00000000-0000-0000-0000-000000023466,OTHERS,423.3668127564009,1114.7763571870066,MIA
315968203.80087227,00000000-0000-0000-0000-000000023465,AGENT,434.57292409809617,1142.707886509982,MIA
315968203.80087227,00000000-0000-0000-0000-000000023457,OTHERS,422.43892640135584,1117.2626669992756,MIA
315968203.80087227,00000000-0000-0000-0000-000000023430,OTHERS,452.2306492239357,1146.0117290316985,MIA
315968203.90234035,00000000-0000-0000-0000-000000000000,AV,419.35431082134943,1125.9277587215108,MIA
315968203.90234035,00000000-0000-0000-0000-000000023470,OTHERS,403.39382121573664,1253.0694511151041,MIA
315968203.90234035,00000000-0000-0000-0000-000000023463,OTHERS,492.0152163732217,1147.2401611659602,MIA
315968203.90234035,00000000-0000-0000-0000-000000023476,OTHERS,474.05438390658486,1146.5792916248945,MIA
315968203.90234035,00000000-0000-0000-0000-000000023478,OTHERS,418.4139238170338,1252.0896671835828,MIA
315968203.90234035,00000000-0000-0000-0000-000000023475,OTHERS,427.7877266408101,1067.4620509020694,MIA
315968203.90234035,00000000-0000-0000-0000-000000023464,OTHERS,500.1988672214497,1147.5083238798516,MIA
315968203.90234035,00000000-0000-0000-0000-000000023366,OTHERS,478.13467461195165,1138.9113801557355,MIA
315968203.90234035,00000000-0000-0000-0000-000000023435,OTHERS,419.59047556956597,1119.289854059645,MIA
315968203.90234035,00000000-0000-0000-0000-000000023211,OTHERS,424.7530819415026,1123.1743514029754,MIA
315968203.90234035,00000000-0000-0000-0000-000000023356,OTHERS,466.80000033634803,1146.4050324476098,MIA
315968203.90234035,00000000-0000-0000-0000-000000023327,OTHERS,426.46345833530717,1113.2115560622728,MIA
315968203.90234035,00000000-0000-0000-0000-000000023466,OTHERS,423.36699656334196,1114.9216378002568,MIA
315968203.90234035,00000000-0000-0000-0000-000000023465,AGENT,433.7834102477176,1142.6383261213464,MIA
315968203.90234035,00000000-0000-0000-0000-000000023457,OTHERS,422.4345023520997,1117.4001273134213,MIA
315968203.90234035,00000000-0000-0000-0000-000000023430,OTHERS,452.0874485899871,1146.0479858477236,MIA
315968204.00055146,00000000-0000-0000-0000-000000000000,AV,419.3542178134527,1125.9276715329406,MIA
315968204.00055146,00000000-0000-0000-0000-000000023470,OTHERS,402.8938636453015,1253.1034565704292,MIA
315968204.00055146,00000000-0000-0000-0000-000000023463,OTHERS,491.90148536823585,1147.23226461862,MIA
315968204.00055146,00000000-0000-0000-0000-000000023476,OTHERS,474.13841415187983,1146.606271593584,MIA
315968204.00055146,00000000-0000-0000-0000-000000023478,OTHERS,417.8102356004051,1252.1071163194295,MIA
315968204.00055146,00000000-0000-0000-0000-000000023475,OTHERS,427.8319600167603,1067.4779685591589,MIA
315968204.00055146,00000000-0000-0000-0000-000000023464,OTHERS,499.0119558741748,1147.4786705764054,MIA
315968204.00055146,00000000-0000-0000-0000-000000023366,OTHERS,478.1084067880429,1138.825757344599,MIA
