	TIMESTAMP	TRACK_ID	OBJECT_TYPE	X	Y	CITY_NAME
0	1572643684.8018925	1	CAR	665.0342407226562	-2207.51220703125	None
1	1572643684.8018925	2	CAR	717.6612548828125	-2173.760009765625	None
2	1572643684.8018925	3	CAR	730.681396484375	-2180.678955078125	None
3	1572643684.8018925	4	UNKNOWN	671.2536010742188	-2204.745361328125	None
4	1572643684.8018925	5	UNKNOWN	669.7763061523438	-2213.004638671875	None
5	1572643684.8018925	6	UNKNOWN	672.4368286132812	-2203.173095703125	None
6	1572643684.8018925	7	UNKNOWN	673.4970092773438	-2202.22412109375	None
7	1572643684.8018925	8	UNKNOWN	674.9345703125	-2199.549072265625	None
8	1572643684.8018925	9	UNKNOWN	676.89404296875	-2195.829833984375	None
9	1572643684.8018925	10	UNKNOWN	680.79296875	-2196.760009765625	None
10	1572643684.8018925	11	UNKNOWN	681.1609497070312	-2190.373046875	None
11	1572643684.8018925	12	UNKNOWN	686.0689086914062	-2182.83544921875	None
12	1572643684.8018925	13	UNKNOWN	713.8087768554688	-2174.413818359375	None
13	1572643684.8018925	14	UNKNOWN	686.8765869140625	-2181.53955078125	None
14	1572643684.8018925	15	UNKNOWN	690.985595703125	-2181.589111328125	None
15	1572643684.8018925	16	UNKNOWN	687.9076538085938	-2179.499755859375	None
16	1572643684.8018925	17	UNKNOWN	694.6976318359375	-2175.463623046875	None
17	1572643684.8018925	18	UNKNOWN	691.4769897460938	-2174.4951171875	None
18	1572643684.8018925	19	UNKNOWN	702.4561157226562	-2164.29248046875	None
19	1572643684.8018925	20	UNKNOWN	689.9425048828125	-2148.4169921875	None
20	1572643684.8018925	21	UNKNOWN	686.2042236328125	-2157.621337890625	None
21	1572643684.8018925	22	UNKNOWN	684.9456787109375	-2154.524658203125	None
22	1572643684.8018925	23	UNKNOWN	684.1436157226562	-2155.72509765625	None
23	1572643684.8018925	24	UNKNOWN	679.9656372070312	-2159.76171875	None
24	1572643684.8018925	25	UNKNOWN	677.925537109375	-2166.4951171875	None
25	1572643684.8018925	26	UNKNOWN	672.8899536132812	-2170.03466796875	None
26	1572643684.8018925	27	UNKNOWN	667.8151245117188	-2177.7236328125	None
27	1572643684.8018925	28	UNKNOWN	671.422119140625	-2180.91064453125	None
28	1572643684.8018925	29	UNKNOWN	668.492919921875	-2181.549560546875	None
29	1572643684.8018925	30	UNKNOWN	669.471923828125	-2183.37890625	None
30	1572643684.8018925	31	UNKNOWN	667.4828491210938	-2183.64111328125	None
31	1572643684.8018925	32	UNKNOWN	665.3422241210938	-2185.625	None
32	1572643684.8018925	33	UNKNOWN	665.2067260742188	-2189.3125	None
33	1572643684.8018925	34	UNKNOWN	659.7926025390625	-2194.46484375	None
34	1572643684.8018925	35	UNKNOWN	653.3523559570312	-2200.55224609375	None
35	1572643684.8018925	36	UNKNOWN	650.3146362304688	-2204.771240234375	None
